academic_term,academic_year,faculty,faculty_abbrev,subject,subject_abbrev,title
Fall/Winter,2023-2024,GL,College universitaire Glendon,LYON,Lyon,Lyon BBA Credits
Fall/Winter,2023-2024,GL,College universitaire Glendon,MATH,Mathematics,Introduction to Statistical Methods I
Fall/Winter,2023-2024,GL,College universitaire Glendon,MATH,Mathematics,Modes of Mathematical Reasoning
Fall/Winter,2023-2024,GL,College universitaire Glendon,MATH,Mathematics,Fundamentals of Mathematics
Fall/Winter,2023-2024,GL,College universitaire Glendon,MATH,Mathematics,Differential Calculus in One Variable
Fall/Winter,2023-2024,GL,College universitaire Glendon,MATH,Mathematics,Integral Calculus in One Variable
Fall/Winter,2023-2024,GL,College universitaire Glendon,MATH,Mathematics,Linear Algebra II
Fall/Winter,2023-2024,GL,College universitaire Glendon,MATH,Mathematics,Differential Equations
Fall/Winter,2023-2024,GL,College universitaire Glendon,MATH,Mathematics,Directed Readings in Mathematics
Fall/Winter,2023-2024,GL,College universitaire Glendon,MODR,Modes Of Reasoning,Introduction to Statistical Methods I
Fall/Winter,2023-2024,GL,College universitaire Glendon,MODR,Modes Of Reasoning,Modes of Mathematical Reasoning
Fall/Winter,2023-2024,GL,College universitaire Glendon,MODR,Modes Of Reasoning,Fundamentals of Mathematics
Fall/Winter,2023-2024,GL,College universitaire Glendon,MODR,Modes Of Reasoning,Logique formelle et informelle
Fall/Winter,2023-2024,GL,College universitaire Glendon,MODR,Modes Of Reasoning,Calcul différentiel à une variable
Fall/Winter,2023-2024,GL,College universitaire Glendon,MODR,Modes Of Reasoning,Calcul intégral à une variable
Fall/Winter,2023-2024,GL,College universitaire Glendon,MODR,Modes Of Reasoning,Mathematics of Investment I
Fall/Winter,2023-2024,GL,College universitaire Glendon,MODR,Modes Of Reasoning,Logic
Fall/Winter,2023-2024,GL,College universitaire Glendon,MODR,Modes Of Reasoning,Linear Algebra II
Fall/Winter,2023-2024,GL,College universitaire Glendon,MODR,Modes Of Reasoning,Computer Usage and Software Applications I
